00090bdd,0,2,['0.04', '0.0', '0.96', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.01']
0293f1e2,3,1,['0.0', '0.58', '0.0', '0.41', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']
029933ac,2,3,['0.0', '0.0', '0.01', '0.98', '0.0', '0.0', '0.0', '0.0', '0.0', '0.02']
02b6d2d0,5,4,['0.0', '0.0', '0.0', '0.0', '0.97', '0.03', '0.0', '0.0', '0.0', '0.0']
02bf9ac3,7,4,['0.0', '0.07', '0.0', '0.0', '0.92', '0.0', '0.0', '0.0', '0.0', '0.0']
02c523ac,7,4,['0.0', '0.0', '0.0', '0.0', '0.62', '0.0', '0.0', '0.05', '0.0', '0.33']
02d179e4,9,7,['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '1.0', '0.0', '0.0']
02daa29e,6,0,['0.9', '0.0', '0.0', '0.0', '0.0', '0.0', '0.08', '0.0', '0.02', '0.0']
02f5a42a,3,2,['0.0', '0.0', '0.99', '0.0', '0.0', '0.0', '0.01', '0.0', '0.0', '0.0']
03266103,8,1,['0.0', '0.8', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.2', '0.0']
03486116,4,9,['0.0', '0.0', '0.0', '0.0', '0.06', '0.0', '0.0', '0.0', '0.0', '0.94']
035a0eab,8,2,['0.0', '0.0', '0.37', '0.23', '0.13', '0.0', '0.0', '0.27', '0.0', '0.0']
038ee7bc,8,1,['0.0', '0.44', '0.0', '0.0', '0.0', '0.44', '0.0', '0.0', '0.13', '0.0']
0399d7f1,4,9,['0.0', '0.0', '0.0', '0.0', '0.34', '0.0', '0.0', '0.0', '0.0', '0.66']
03a2fadd,5,4,['0.0', '0.0', '0.0', '0.0', '0.95', '0.04', '0.0', '0.0', '0.0', '0.01']
03be151c,2,1,['0.0', '0.82', '0.15', '0.01', '0.0', '0.0', '0.0', '0.0', '0.02', '0.0']
03eb9eb7,7,3,['0.0', '0.0', '0.0', '0.81', '0.11', '0.0', '0.0', '0.0', '0.0', '0.08']
040901a1,2,4,['0.0', '0.0', '0.2', '0.0', '0.8', '0.0', '0.0', '0.0', '0.0', '0.0']
043e4660,8,5,['0.0', '0.0', '0.0', '0.0', '0.0', '0.67', '0.0', '0.0', '0.33', '0.0']
045abba9,2,1,['0.0', '0.97', '0.03', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']
05191de8,1,2,['0.0', '0.01', '0.99', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']
0519aba2,6,1,['0.0', '1.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']
053b2e86,0,9,['0.42', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.58']
053d38bc,9,4,['0.0', '0.0', '0.0', '0.0', '0.58', '0.0', '0.0', '0.0', '0.0', '0.42']
054ebe5c,9,4,['0.0', '0.0', '0.0', '0.0', '1.0', '0.0', '0.0', '0.0', '0.0', '0.0']
05693ed9,1,2,['0.0', '0.0', '1.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']
05697233,5,6,['0.0', '0.0', '0.0', '0.0', '0.0', '0.01', '0.99', '0.0', '0.0', '0.0']
059c51ad,3,7,['0.0', '0.03', '0.0', '0.26', '0.0', '0.0', '0.0', '0.71', '0.01', '0.0']
05b2cf68,1,7,['0.0', '0.03', '0.0', '0.0', '0.0', '0.0', '0.0', '0.97', '0.0', '0.0']
05bd7aef,8,4,['0.0', '0.0', '0.0', '0.0', '0.56', '0.12', '0.0', '0.0', '0.31', '0.0']
05bffb05,8,5,['0.0', '0.43', '0.0', '0.0', '0.0', '0.44', '0.0', '0.0', '0.13', '0.0']
05c4ba01,7,2,['0.0', '0.0', '0.77', '0.0', '0.0', '0.0', '0.0', '0.23', '0.0', '0.0']
05dd557e,6,5,['0.07', '0.0', '0.0', '0.0', '0.0', '0.46', '0.46', '0.0', '0.0', '0.0']
05eb05ca,3,7,['0.0', '0.0', '0.0', '0.32', '0.0', '0.0', '0.0', '0.68', '0.0', '0.0']
06131cdd,5,3,['0.0', '0.0', '0.0', '0.98', '0.0', '0.02', '0.0', '0.0', '0.0', '0.0']
06265db5,8,0,['0.97', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.01', '0.0', '0.02']
0653698d,0,6,['0.44', '0.0', '0.0', '0.0', '0.0', '0.0', '0.53', '0.0', '0.03', '0.0']
0660d484,0,9,['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '1.0']
0682396d,3,2,['0.0', '0.0', '0.99', '0.01', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']
069ec6ac,8,2,['0.0', '0.0', '0.8', '0.0', '0.02', '0.0', '0.13', '0.0', '0.05', '0.0']
06bebd3d,5,1,['0.0', '1.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']
06dd685b,1,4,['0.0', '0.43', '0.0', '0.0', '0.55', '0.01', '0.0', '0.0', '0.01', '0.0']
06e3dfc9,8,3,['0.0', '0.0', '0.0', '0.99', '0.0', '0.0', '0.0', '0.0', '0.01', '0.0']
06f8ddea,5,2,['0.0', '0.0', '0.96', '0.0', '0.0', '0.03', '0.0', '0.0', '0.0', '0.0']
073946fc,7,0,['0.89', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.07', '0.0', '0.03']
0742c4eb,5,6,['0.0', '0.0', '0.0', '0.0', '0.0', '0.16', '0.84', '0.0', '0.0', '0.0']
078198f3,7,1,['0.0', '0.45', '0.12', '0.0', '0.0', '0.0', '0.0', '0.43', '0.0', '0.0']
07bab426,7,4,['0.0', '0.0', '0.0', '0.0', '0.66', '0.0', '0.0', '0.34', '0.0', '0.0']
07c5c179,6,4,['0.0', '0.0', '0.0', '0.0', '1.0', '0.0', '0.0', '0.0', '0.0', '0.0']
07d91c93,7,4,['0.0', '0.0', '0.0', '0.0', '0.96', '0.0', '0.0', '0.0', '0.04', '0.0']
07e955ba,0,8,['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '1.0', '0.0']
0810480b,5,3,['0.0', '0.0', '0.0', '0.91', '0.0', '0.05', '0.0', '0.0', '0.0', '0.04']
0817ce51,2,1,['0.0', '0.99', '0.01', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']
08200929,2,6,['0.0', '0.1', '0.11', '0.0', '0.0', '0.0', '0.79', '0.0', '0.0', '0.0']
0864d690,4,9,['0.0', '0.0', '0.0', '0.0', '0.13', '0.0', '0.0', '0.0', '0.0', '0.87']
08b3ef64,5,9,['0.0', '0.0', '0.0', '0.0', '0.0', '0.26', '0.0', '0.0', '0.0', '0.74']
08ba5259,2,0,['0.64', '0.0', '0.13', '0.0', '0.0', '0.0', '0.0', '0.23', '0.0', '0.0']
08f21c37,7,1,['0.0', '0.9', '0.0', '0.0', '0.0', '0.0', '0.0', '0.1', '0.0', '0.0']
0912b931,3,8,['0.0', '0.0', '0.0', '0.03', '0.0', '0.0', '0.0', '0.0', '0.97', '0.0']
092aab54,4,9,['0.0', '0.0', '0.0', '0.0', '0.03', '0.0', '0.0', '0.0', '0.0', '0.97']
092d3ae0,8,5,['0.0', '0.0', '0.0', '0.0', '0.0', '1.0', '0.0', '0.0', '0.0', '0.0']
0946c0e0,8,1,['0.0', '0.99', '0.0', '0.0', '0.01', '0.0', '0.0', '0.0', '0.0', '0.0']
097af26c,8,3,['0.0', '0.0', '0.0', '1.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']
097ce09c,0,2,['0.07', '0.0', '0.5', '0.0', '0.0', '0.0', '0.0', '0.03', '0.0', '0.41']
0988e91a,5,9,['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '1.0']
09beca1f,9,7,['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '1.0', '0.0', '0.0']
09d94dff,3,9,['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.1', '0.9']
09f17631,2,9,['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '1.0']
09faa2d8,7,2,['0.0', '0.0', '0.94', '0.0', '0.0', '0.0', '0.0', '0.06', '0.0', '0.0']
0a43ad20,8,5,['0.02', '0.0', '0.0', '0.0', '0.0', '0.97', '0.0', '0.0', '0.01', '0.0']
0a49e41f,7,4,['0.0', '0.0', '0.0', '0.0', '0.99', '0.0', '0.0', '0.01', '0.0', '0.0']
0a88886b,2,3,['0.0', '0.0', '0.0', '0.99', '0.0', '0.0', '0.0', '0.0', '0.0', '0.01']
0a9c034c,7,8,['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.16', '0.83', '0.0']
0afce99b,3,9,['0.0', '0.0', '0.0', '0.07', '0.0', '0.0', '0.0', '0.0', '0.0', '0.93']
0b2020b6,8,6,['0.0', '0.0', '0.01', '0.0', '0.0', '0.0', '0.99', '0.0', '0.0', '0.0']
0b24a853,5,9,['0.0', '0.0', '0.0', '0.19', '0.0', '0.01', '0.0', '0.02', '0.0', '0.79']
0b4843de,6,8,['0.0', '0.0', '0.0', '0.0', '0.0', '0.33', '0.0', '0.0', '0.67', '0.0']
0b4f2199,4,9,['0.0', '0.0', '0.0', '0.0', '0.48', '0.0', '0.0', '0.0', '0.0', '0.52']
0b6f3f49,9,7,['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.99', '0.0', '0.01']
0b97b333,7,0,['1.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']
0ba7d869,1,2,['0.0', '0.0', '1.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']
0c41d160,5,8,['0.12', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.88', '0.0']
0c947b39,7,3,['0.0', '0.0', '0.01', '0.98', '0.0', '0.0', '0.0', '0.01', '0.0', '0.0']
0caccf3b,3,1,['0.0', '0.76', '0.0', '0.24', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']
0cc16cdf,8,1,['0.0', '0.99', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']
0cd17c5b,0,9,['0.29', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.71']
0ceb75ed,7,1,['0.0', '0.99', '0.0', '0.0', '0.0', '0.0', '0.0', '0.01', '0.0', '0.0']
0d026d65,7,5,['0.03', '0.0', '0.0', '0.0', '0.0', '0.97', '0.0', '0.0', '0.0', '0.0']
0d1c1300,2,1,['0.0', '1.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']
0d48121b,8,1,['0.0', '0.93', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.07', '0.0']
0d5b0c61,3,7,['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '1.0', '0.0', '0.0']
0d6f4634,1,2,['0.0', '0.26', '0.74', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']
0dd4a796,9,7,['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '1.0', '0.0', '0.0']
0dff464a,9,0,['0.99', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']
0e010143,6,5,['0.12', '0.0', '0.0', '0.0', '0.0', '0.69', '0.0', '0.0', '0.19', '0.0']
0e15d358,0,6,['0.2', '0.0', '0.01', '0.0', '0.0', '0.02', '0.77', '0.0', '0.0', '0.0']
0e298c10,4,9,['0.0', '0.0', '0.0', '0.0', '0.2', '0.08', '0.0', '0.0', '0.0', '0.72']
0e5d9a75,7,4,['0.0', '0.0', '0.0', '0.0', '1.0', '0.0', '0.0', '0.0', '0.0', '0.0']
0e61f32d,5,0,['0.39', '0.0', '0.26', '0.0', '0.24', '0.11', '0.0', '0.0', '0.0', '0.0']
0eeb0569,8,1,['0.0', '0.99', '0.01', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']
0eebd318,0,9,['0.42', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.58']
0f2b760e,3,5,['0.0', '0.0', '0.0', '0.11', '0.0', '0.89', '0.0', '0.0', '0.0', '0.0']
0f2c6b32,4,9,['0.0', '0.0', '0.0', '0.0', '0.17', '0.0', '0.0', '0.0', '0.0', '0.83']
0f305376,8,2,['0.14', '0.0', '0.61', '0.0', '0.22', '0.02', '0.0', '0.0', '0.0', '0.0']
0f3856f6,9,8,['0.0', '0.0', '0.0', '0.0', '0.16', '0.0', '0.35', '0.0', '0.49', '0.0']
0f63790f,1,2,['0.0', '0.0', '1.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']
10111900,3,2,['0.0', '0.0', '0.52', '0.36', '0.0', '0.0', '0.0', '0.0', '0.01', '0.11']
1017511e,3,8,['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '1.0', '0.0']
102ebcf6,3,9,['0.0', '0.0', '0.0', '0.0', '0.01', '0.0', '0.0', '0.0', '0.0', '0.99']
10834a3a,5,2,['0.0', '0.0', '0.54', '0.0', '0.0', '0.0', '0.01', '0.0', '0.45', '0.0']
109d3000,4,9,['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '1.0']
10d29d68,7,4,['0.0', '0.0', '0.0', '0.0', '1.0', '0.0', '0.0', '0.0', '0.0', '0.0']
11212bd2,3,8,['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.98', '0.02']
11365155,5,9,['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '1.0']
11aaed6f,3,7,['0.0', '0.08', '0.0', '0.11', '0.0', '0.0', '0.0', '0.81', '0.0', '0.0']
11b79c68,8,5,['0.0', '0.0', '0.0', '0.0', '0.0', '0.95', '0.0', '0.0', '0.05', '0.0']
11f79e39,7,2,['0.0', '0.0', '1.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']
1203b6e5,7,9,['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.43', '0.0', '0.57']
123517ef,3,2,['0.0', '0.01', '0.75', '0.06', '0.0', '0.0', '0.0', '0.18', '0.0', '0.0']
1252e007,2,8,['0.0', '0.0', '0.11', '0.0', '0.0', '0.0', '0.0', '0.0', '0.88', '0.0']
127692a3,5,9,['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '1.0']
1285badd,7,9,['0.0', '0.0', '0.0', '0.01', '0.0', '0.0', '0.0', '0.45', '0.0', '0.54']
1295c7a8,3,0,['0.97', '0.0', '0.0', '0.0', '0.0', '0.0', '0.02', '0.0', '0.01', '0.0']
12aee769,6,1,['0.0', '0.64', '0.0', '0.0', '0.0', '0.0', '0.36', '0.0', '0.0', '0.0']
130b0940,0,9,['0.11', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.89']
1314330b,7,9,['0.0', '0.0', '0.0', '0.0', '0.01', '0.0', '0.0', '0.32', '0.0', '0.67']
133cb7cf,1,2,['0.0', '0.0', '1.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']
1345ac40,7,4,['0.0', '0.0', '0.0', '0.0', '0.8', '0.0', '0.0', '0.04', '0.15', '0.0']
13608489,3,2,['0.0', '0.0', '1.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']
137d00ed,4,9,['0.0', '0.0', '0.0', '0.0', '0.42', '0.0', '0.0', '0.0', '0.0', '0.58']
13c6c9eb,3,1,['0.0', '0.99', '0.0', '0.01', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']
1423e7bf,4,9,['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '1.0']
14302dde,8,0,['0.73', '0.0', '0.27', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']
1446d72a,7,9,['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.04', '0.0', '0.96']
14550754,2,1,['0.0', '1.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']
1489ce20,9,7,['0.0', '0.0', '0.0', '0.0', '0.17', '0.0', '0.0', '0.6', '0.0', '0.23']
14967144,2,7,['0.04', '0.0', '0.19', '0.0', '0.0', '0.0', '0.0', '0.77', '0.0', '0.0']
153485a2,4,9,['0.0', '0.0', '0.0', '0.0', '0.19', '0.0', '0.0', '0.0', '0.0', '0.81']
155d780c,1,2,['0.0', '0.0', '1.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']
15a7d79d,8,9,['0.0', '0.49', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.51']
15cc4279,3,7,['0.0', '0.0', '0.11', '0.03', '0.0', '0.0', '0.0', '0.85', '0.0', '0.0']
15e5b9bc,5,4,['0.0', '0.0', '0.0', '0.0', '0.98', '0.02', '0.0', '0.0', '0.0', '0.0']
15ec8279,5,0,['0.63', '0.0', '0.36', '0.0', '0.0', '0.01', '0.0', '0.0', '0.0', '0.0']
162f28c4,0,9,['0.04', '0.0', '0.0', '0.0', '0.0', '0.01', '0.01', '0.05', '0.0', '0.89']
16382b90,3,5,['0.0', '0.0', '0.0', '0.23', '0.0', '0.77', '0.0', '0.0', '0.0', '0.0']
163ce66a,9,7,['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '1.0', '0.0', '0.0']
164a6640,2,3,['0.0', '0.0', '0.13', '0.87', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']
166e7e4d,3,5,['0.0', '0.0', '0.0', '0.0', '0.0', '1.0', '0.0', '0.0', '0.0', '0.0']
1675aed2,8,9,['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '1.0']
16a60d14,1,2,['0.0', '0.0', '1.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']
1714df9b,8,0,['0.7', '0.0', '0.01', '0.0', '0.0', '0.0', '0.0', '0.0', '0.29', '0.0']
17306488,8,4,['0.0', '0.0', '0.0', '0.0', '0.97', '0.0', '0.0', '0.0', '0.0', '0.03']
1734143a,7,3,['0.0', '0.0', '0.0', '0.68', '0.0', '0.0', '0.0', '0.32', '0.0', '0.0']
176cfc0e,4,2,['0.14', '0.0', '0.85', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']
17b3215c,3,2,['0.0', '0.0', '0.91', '0.0', '0.0', '0.0', '0.0', '0.09', '0.0', '0.0']
17cadcfa,7,4,['0.0', '0.0', '0.0', '0.0', '0.67', '0.0', '0.0', '0.33', '0.0', '0.0']
18088a31,9,1,['0.0', '0.85', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.15']
181789a2,5,3,['0.0', '0.0', '0.0', '0.96', '0.0', '0.04', '0.0', '0.0', '0.0', '0.0']
1829941a,1,2,['0.0', '0.34', '0.66', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']
182e8d64,8,1,['0.0', '0.98', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.02', '0.0']
1837cab2,2,9,['0.01', '0.06', '0.12', '0.0', '0.0', '0.0', '0.0', '0.0', '0.39', '0.42']
1894a6d2,6,8,['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '1.0', '0.0']
18b0de68,6,0,['0.69', '0.0', '0.0', '0.0', '0.0', '0.0', '0.31', '0.0', '0.0', '0.0']
18b1b6bd,2,8,['0.0', '0.0', '0.22', '0.0', '0.0', '0.0', '0.0', '0.0', '0.78', '0.0']
190e2b8e,9,1,['0.0', '0.87', '0.0', '0.0', '0.01', '0.0', '0.0', '0.0', '0.0', '0.13']
1973d51d,8,6,['0.0', '0.0', '0.08', '0.0', '0.0', '0.0', '0.92', '0.0', '0.0', '0.0']
19affb5c,6,4,['0.0', '0.0', '0.0', '0.0', '0.87', '0.0', '0.13', '0.0', '0.0', '0.0']
1a082405,3,2,['0.0', '0.0', '1.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']
1a4314b6,5,1,['0.0', '0.99', '0.0', '0.0', '0.0', '0.01', '0.0', '0.0', '0.0', '0.0']
1a4f4d66,9,4,['0.0', '0.0', '0.0', '0.0', '1.0', '0.0', '0.0', '0.0', '0.0', '0.0']
1a6100cf,8,1,['0.0', '0.99', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.01', '0.0']
1a7db111,2,8,['0.21', '0.0', '0.09', '0.0', '0.0', '0.0', '0.0', '0.0', '0.7', '0.0']
1a7f72b3,3,7,['0.0', '0.03', '0.01', '0.01', '0.0', '0.0', '0.0', '0.95', '0.0', '0.0']
1aaa0e22,2,9,['0.0', '0.0', '0.0', '0.0', '0.06', '0.0', '0.0', '0.23', '0.0', '0.71']
1ad7bf97,4,2,['0.1', '0.0', '0.9', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']
1b0df0b6,8,5,['0.0', '0.0', '0.0', '0.0', '0.0', '1.0', '0.0', '0.0', '0.0', '0.0']
1b18dcfd,9,4,['0.0', '0.0', '0.0', '0.0', '1.0', '0.0', '0.0', '0.0', '0.0', '0.0']
1b4dff75,5,8,['0.07', '0.0', '0.01', '0.0', '0.0', '0.34', '0.0', '0.0', '0.57', '0.0']
1b51dd26,8,1,['0.0', '0.57', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.43', '0.0']
1bb17f83,9,3,['0.12', '0.0', '0.0', '0.36', '0.0', '0.0', '0.0', '0.0', '0.15', '0.36']
1bb42613,8,5,['0.0', '0.0', '0.0', '0.0', '0.0', '0.99', '0.0', '0.0', '0.0', '0.0']
1bbc1159,7,1,['0.0', '1.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']
1bc29278,8,4,['0.0', '0.0', '0.09', '0.0', '0.91', '0.0', '0.0', '0.0', '0.0', '0.0']
1bcc2327,8,2,['0.0', '0.0', '0.62', '0.0', '0.0', '0.0', '0.0', '0.0', '0.34', '0.04']
1bd0d9cb,6,5,['0.0', '0.0', '0.0', '0.0', '0.0', '0.76', '0.24', '0.0', '0.0', '0.0']
1be13b70,2,1,['0.0', '0.97', '0.0', '0.0', '0.0', '0.0', '0.0', '0.03', '0.0', '0.0']
1c137088,2,1,['0.0', '0.68', '0.15', '0.0', '0.0', '0.0', '0.0', '0.17', '0.0', '0.0']
1c24c54e,6,8,['0.0', '0.01', '0.0', '0.0', '0.0', '0.01', '0.27', '0.0', '0.71', '0.0']
1c2685b9,2,8,['0.0', '0.0', '0.21', '0.0', '0.0', '0.0', '0.0', '0.0', '0.78', '0.0']
1c2d32bf,2,9,['0.0', '0.0', '0.22', '0.06', '0.0', '0.0', '0.0', '0.0', '0.01', '0.71']
1c373163,2,1,['0.0', '0.61', '0.38', '0.0', '0.0', '0.0', '0.0', '0.01', '0.0', '0.0']
1c5c53da,9,7,['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.82', '0.0', '0.18']
1c8a4f35,5,8,['0.0', '0.0', '0.0', '0.0', '0.0', '0.01', '0.0', '0.0', '0.99', '0.0']
1c8b59aa,7,8,['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.33', '0.66', '0.0']
1d099215,5,9,['0.0', '0.0', '0.0', '0.0', '0.03', '0.41', '0.0', '0.0', '0.0', '0.56']
1d3d8da6,7,2,['0.0', '0.0', '0.99', '0.0', '0.0', '0.0', '0.0', '0.01', '0.0', '0.0']
1d443db7,0,9,['0.01', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.99']
1d514d76,7,0,['0.94', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.05', '0.0', '0.01']
1d8b2f50,8,1,['0.0', '1.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0']
1deec0e7,3,5,['0.0', '0.0', '0.0', '0.46', '0.0', '0.54', '0.0', '0.0', '0.0', '0.0']
1e1b07b8,9,4,['0.0', '0.0', '0.0', '0.0', '0.98', '0.0', '0.0', '0.0', '0.0', '0.02']
1e378954,3,8,['0.0', '0.0', '0.01', '0.04', '0.0', '0.0', '0.0', '0.0', '0.96', '0.0']
1e3fc828,9,8,['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '1.0', '0.0']
1e489c75,8,5,['0.0', '0.0', '0.0', '0.0', '0.0', '0.84', '0.0', '0.0', '0.16', '0.0']
1e54617f,1,7,['0.0', '0.02', '0.0', '0.0', '0.0', '0.0', '0.0', '0.98', '0.0', '0.0']
1e68244f,7,9,['0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.0', '0.2', '0.0', '0.8']
1e822966,5,3,['0.0', '0.0', '0.0', '0.8', '0.0', '0.1', '0.0', '0.0', '0.0', '0.1']
1e8c7204,7,5,['0.0', '0.0', '0.0', '0.0', '0.0', '0.7', '0.0', '0.29', '0.0', '0.0']
